,sentences,masks,lexico_sem_relations
0,Les <mask> peuvent être raccommodés.,habits,::>66:37144>26:35069
1,Les habits peuvent <mask> raccommodés.,être,::>66:37144>26:35069
2,Les habits peuvent être <mask>.,raccommodés,::>66:37144>26:35069
3,Un <mask> pouvait buter.,malfrat,::>66:90105>24:12255
4,Un malfrat pouvait <mask>.,buter,::>66:90105>24:12255
5,Un <mask> de café est un lieu où il est possible de tremper.,bol,::>66:339461>30:119858
6,Un bol de <mask> est un lieu où il est possible de tremper.,café,::>66:339461>30:119858
7,Un bol de café est un <mask> où il est possible de tremper.,lieu,::>66:339461>30:119858
8,Un bol de café est un lieu où il est <mask> de tremper.,possible,::>66:339461>30:119858
9,Un bol de café est un lieu où il est possible de <mask>.,tremper,::>66:339461>30:119858
10,La <mask> va verrouiller la porte.,personne,::>66:225916>24:327607
11,La personne va <mask> la porte.,verrouiller,::>66:225916>24:327607
12,La personne va verrouiller la <mask>.,porte,::>66:225916>24:327607
13,Une <mask> pourrait prendre un selfie.,personne,::>66:317387>26:86306
14,Une personne pourrait <mask> un selfie.,prendre,::>66:317387>26:86306
15,Une personne pourrait prendre un <mask>.,selfie,::>66:317387>26:86306
16,Un <mask> peut abattre de la roche avec une rivelaine.,mineur,::>66:16598618>155:97498
17,Un mineur peut <mask> de la roche avec une rivelaine.,abattre,::>66:16598618>155:97498
18,Un mineur peut abattre de la <mask> avec une rivelaine.,roche,::>66:16598618>155:97498
19,Un mineur peut abattre de la roche avec une <mask>.,rivelaine,::>66:16598618>155:97498
20,Une <mask> pouvait enlever.,personne,::>13:225916>29:82345
21,Une personne pouvait <mask>.,enlever,::>13:225916>29:82345
22,Une sorte d'<mask> pourrait jongler avec des objets.,antipodiste,::>14:63425>29:30083
23,Une sorte d'antipodiste pourrait <mask> avec des objets.,jongler,::>14:63425>29:30083
24,Une sorte d'antipodiste pourrait jongler avec des <mask>.,objets,::>14:63425>29:30083
25,On pourrait <mask> le sol à l'aide de la serpillère.,laver,::>66:153275>25:165278
26,On pourrait laver le <mask> à l'aide de la serpillère.,sol,::>66:153275>25:165278
27,On pourrait laver le sol à l'<mask> de la serpillère.,aide,::>66:153275>25:165278
28,On pourrait laver le sol à l'aide de la <mask>.,serpillère,::>66:153275>25:165278
29,Un <mask> de maths va écrire une démonstration.,prof,::>66:268926>24:16765897
30,Un prof de <mask> va écrire une démonstration.,maths,::>66:268926>24:16765897
31,Un prof de maths va <mask> une démonstration.,écrire,::>66:268926>24:16765897
32,Un prof de maths va écrire une <mask>.,démonstration,::>66:268926>24:16765897
33,Une <mask> va braquer une banque.,personne,::>66:225916>24:167156
34,Une personne va <mask> une banque.,braquer,::>66:225916>24:167156
35,Une personne va braquer une <mask>.,banque,::>66:225916>24:167156
36,Une <mask> peut séduire le mec.,femme,::>66:61490>24:16590703
37,Une femme peut <mask> le mec.,séduire,::>66:61490>24:16590703
38,Une femme peut séduire le <mask>.,mec,::>66:61490>24:16590703
39,<mask> un peut tracer un cercle avec un compas.,quelqu',::>16:78429>29:245854
40,Quelqu'un peut <mask> un cercle avec un compas.,tracer,::>16:78429>29:245854
41,Quelqu'un peut tracer un <mask> avec un compas.,cercle,::>16:78429>29:245854
42,Quelqu'un peut tracer un cercle avec un <mask>.,compas,::>16:78429>29:245854
43,Il est <mask> de porter les missiles.,possible,::>66:136370>26:43404
44,Il est possible de <mask> les missiles.,porter,::>66:136370>26:43404
45,Il est possible de porter les <mask>.,missiles,::>66:136370>26:43404
46,Les <mask> pourraient corriger des copies.,enseignants,::>66:155464>24:258252
47,Les enseignants pourraient <mask> des copies.,corriger,::>66:155464>24:258252
48,Les enseignants pourraient corriger des <mask>.,copies,::>66:155464>24:258252
49,Une <mask> pouvait accoucher.,personne,::>66:116477>24:5979
50,Une personne pouvait <mask>.,accoucher,::>66:116477>24:5979
51,Un <mask> pourrait pousser.,enfant,::>13:124094>29:78635
52,Un enfant pourrait <mask>.,pousser,::>13:124094>29:78635
53,Un <mask> politique islamophobe pourrait vouloir chasser les arabes.,homme,::>66:17452960>24:17452964
54,Un homme <mask> islamophobe pourrait vouloir chasser les arabes.,politique,::>66:17452960>24:17452964
55,Un homme politique <mask> pourrait vouloir chasser les arabes.,islamophobe,::>66:17452960>24:17452964
56,Un homme politique islamophobe pourrait <mask> chasser les arabes.,vouloir,::>66:17452960>24:17452964
57,Un homme politique islamophobe pourrait vouloir <mask> les arabes.,chasser,::>66:17452960>24:17452964
58,Un homme politique islamophobe pourrait vouloir chasser les <mask>.,arabes,::>66:17452960>24:17452964
59,Une <mask> va voler le cadavre dans la morgue.,personne,::>66:16532123>15:141206
60,Une personne va <mask> le cadavre dans la morgue.,voler,::>66:16532123>15:141206
61,Une personne va voler le <mask> dans la morgue.,cadavre,::>66:16532123>15:141206
62,Une personne va voler le cadavre dans la <mask>.,morgue,::>66:16532123>15:141206
63,La <mask> peut détruire avec le missile antichar.,personne,::>66:225916>24:14484566
64,La personne peut <mask> avec le missile antichar.,détruire,::>66:225916>24:14484566
65,La personne peut détruire avec le <mask> antichar.,missile,::>66:225916>24:14484566
66,La personne peut détruire avec le missile <mask>.,antichar,::>66:225916>24:14484566
67,La <mask> va émincer.,personne,::>66:225916>24:88315
68,La personne va <mask>.,émincer,::>66:225916>24:88315
69,Un <mask> homme va boire une bière dans un bar.,jeune,::>66:49420>24:16604040
70,Un jeune <mask> va boire une bière dans un bar.,homme,::>66:49420>24:16604040
71,Un jeune homme va <mask> une bière dans un bar.,boire,::>66:49420>24:16604040
72,Un jeune homme va boire une <mask> dans un bar.,bière,::>66:49420>24:16604040
73,Un jeune homme va boire une bière dans un <mask>.,bar,::>66:49420>24:16604040
74,Un <mask> de chasse peut intercepter.,avion,::>13:3304270>29:126398
75,Un avion de <mask> peut intercepter.,chasse,::>13:3304270>29:126398
76,Un avion de chasse peut <mask>.,intercepter,::>13:3304270>29:126398
77,La <mask> va boire.,personne,::>66:225916>24:47918
78,La personne va <mask>.,boire,::>66:225916>24:47918
79,Une <mask> va déboucher la canalisation.,personne,::>14:57483>29:3605
80,Une personne va <mask> la canalisation.,déboucher,::>14:57483>29:3605
81,Une personne va déboucher la <mask>.,canalisation,::>14:57483>29:3605
82,Une sorte de <mask> supérieur pourrait diriger.,père,::>13:14435587>29:135329
83,Une sorte de père <mask> pourrait diriger.,supérieur,::>13:14435587>29:135329
84,Une sorte de père supérieur pourrait <mask>.,diriger,::>13:14435587>29:135329
85,Des <mask> pourraient stimuler.,substances,::>13:284011>29:9928
86,Des substances pourraient <mask>.,stimuler,::>13:284011>29:9928
87,Le <mask> pourrait interpeller un dealer.,BAC,::>66:153823>24:14532684
88,Le bac pourrait <mask> un dealer.,interpeller,::>66:153823>24:14532684
89,Le bac pourrait interpeller un <mask>.,dealer,::>66:153823>24:14532684
90,Un <mask> pourrait marcher dans une merde de chien.,piéton,::>66:34604>24:16508648
91,Un piéton pourrait <mask> dans une merde de chien.,marcher,::>66:34604>24:16508648
92,Un piéton pourrait marcher dans une <mask> de chien.,merde,::>66:34604>24:16508648
93,Un piéton pourrait marcher dans une merde de <mask>.,chien,::>66:34604>24:16508648
94,Un <mask> pourrait mordre un main.,chien,::>66:214059>24:16608575
95,Un chien pourrait <mask> un main.,mordre,::>66:214059>24:16608575
96,Un chien pourrait mordre un <mask>.,main,::>66:214059>24:16608575
97,Le <mask> est un lieu où il est possible de cuire des aliments.,four,::>66:9190>30:9740036
98,Le four est un <mask> où il est possible de cuire des aliments.,lieu,::>66:9190>30:9740036
99,Le four est un lieu où il est <mask> de cuire des aliments.,possible,::>66:9190>30:9740036
100,Le four est un lieu où il est possible de <mask> des aliments.,cuire,::>66:9190>30:9740036
101,Le four est un lieu où il est possible de cuire des <mask>.,aliments,::>66:9190>30:9740036
102,Une sorte de <mask> de glaces peut vendre des glaces.,marchand,::>66:363257>24:16494134
103,Une sorte de marchand de <mask> peut vendre des glaces.,glaces,::>66:363257>24:16494134
104,Une sorte de marchand de glaces peut <mask> des glaces.,vendre,::>66:363257>24:16494134
105,Une sorte de marchand de glaces peut vendre des <mask>.,glaces,::>66:363257>24:16494134
106,Une <mask> peut se fracasser dans des rochers.,embarcation,::>31:399984>29:5054376
107,Une embarcation peut se <mask> dans des rochers.,fracasser,::>31:399984>29:5054376
108,Une embarcation peut se fracasser dans des <mask>.,rochers,::>31:399984>29:5054376
109,La <mask> va retailler des vêtements trop larges.,couturière,::>14:14490879>29:128993
110,La couturière va <mask> des vêtements trop larges.,retailler,::>14:14490879>29:128993
111,La couturière va retailler des <mask> trop larges.,vêtements,::>14:14490879>29:128993
112,La couturière va retailler des vêtements <mask> larges.,trop,::>14:14490879>29:128993
113,La couturière va retailler des vêtements trop <mask>.,larges,::>14:14490879>29:128993
114,La <mask> pourrait acheter quelque chose.,personne,::>13:225916>29:29926
115,La personne pourrait <mask> quelque chose.,acheter,::>13:225916>29:29926
116,La personne pourrait acheter <mask> chose.,quelque,::>13:225916>29:29926
117,La personne pourrait acheter quelque <mask>.,chose,::>13:225916>29:29926
118,Une <mask> va faire sauter la voiture avec le c-4.,personne,::>66:17433764>155:249470
119,Une personne va <mask> sauter la voiture avec le c-4.,faire,::>66:17433764>155:249470
120,Une personne va faire <mask> la voiture avec le c-4.,sauter,::>66:17433764>155:249470
121,Une personne va faire sauter la <mask> avec le c-4.,voiture,::>66:17433764>155:249470
122,Une personne va faire sauter la voiture avec le <mask>.,C-4,::>66:17433764>155:249470
123,Une <mask> pourrait frapper l'agresseur.,personne,::>66:225916>24:16597052
124,Une personne pourrait <mask> l'agresseur.,frapper,::>66:225916>24:16597052
125,Une personne pourrait frapper l'<mask>.,agresseur,::>66:225916>24:16597052
126,Le <mask> peut préparer l'oeuf sur le plat.,cuisinier,::>13:118790>29:16605482
127,Le cuisinier peut <mask> l'oeuf sur le plat.,préparer,::>13:118790>29:16605482
128,Le cuisinier peut préparer l'<mask> sur le plat.,oeuf,::>13:118790>29:16605482
129,Le cuisinier peut préparer l'oeuf <mask> le plat.,sur,::>13:118790>29:16605482
130,Le cuisinier peut préparer l'oeuf sur le <mask>.,plat,::>13:118790>29:16605482
131,La <mask> va soulager avec un antiémétique.,personne,::>66:116477>24:14589281
132,La personne va <mask> avec un antiémétique.,soulager,::>66:116477>24:14589281
133,La personne va soulager avec un <mask>.,antiémétique,::>66:116477>24:14589281
134,Un <mask> peut être contenu.,pesto,::>66:221048>26:34519
135,Un pesto peut <mask> contenu.,être,::>66:221048>26:34519
136,Un pesto peut être <mask>.,contenu,::>66:221048>26:34519
137,Le <mask> pourrait transporter des gens.,train,::>13:27120>29:16604345
138,Le train pourrait <mask> des gens.,transporter,::>13:27120>29:16604345
139,Le train pourrait transporter des <mask>.,gens,::>13:27120>29:16604345
140,On peut <mask> une malbouffe.,proposer,::>14:115709>29:8066
141,On peut proposer une <mask>.,malbouffe,::>14:115709>29:8066
142,Les <mask> de police pourraient interpeler.,forces,::>66:224153>24:2414135
143,Les forces de <mask> pourraient interpeler.,police,::>66:224153>24:2414135
144,Les forces de police pourraient <mask>.,interpeler,::>66:224153>24:2414135
145,Une sorte de <mask> pourrait aspirer.,moustique,::>13:270521>29:110836
146,Une sorte de moustique pourrait <mask>.,aspirer,::>13:270521>29:110836
