une sorte d'<mask> informatique pourrait administrer   ;   administrateur   ;   ::>13:15388220>29:5333
une sorte d'administrateur <mask> pourrait administrer   ;   informatique   ;   ::>13:15388220>29:5333
une sorte d'administrateur informatique pourrait <mask>   ;   administrer   ;   ::>13:15388220>29:5333

une sorte d'<mask> informatique va administrer   ;   administrateur   ;   ::>13:15388220>29:5333
une sorte d'administrateur <mask> va administrer   ;   informatique   ;   ::>13:15388220>29:5333
une sorte d'administrateur informatique va <mask>   ;   administrer   ;   ::>13:15388220>29:5333

l'<mask> va pincer   ;   oie   ;   ::>13:79073>29:133793
l'oie va <mask>   ;   pincer   ;   ::>13:79073>29:133793

l'<mask> pourrait pincer   ;   oie   ;   ::>13:79073>29:133793
l'oie pourrait <mask>   ;   pincer   ;   ::>13:79073>29:133793

une <mask> peut travailler dans un EHPAD   ;   aide-soignante   ;   ::>66:153905>24:16108911
une aide-soignante peut <mask> dans un EHPAD   ;   travailler   ;   ::>66:153905>24:16108911
une aide-soignante peut travailler dans un <mask>   ;   EHPAD   ;   ::>66:153905>24:16108911

la <mask> va griffer   ;   femme   ;   ::>66:61490>24:87221
la femme va <mask>   ;   griffer   ;   ::>66:61490>24:87221

la <mask> pourrait griffer   ;   femme   ;   ::>66:61490>24:87221
la femme pourrait <mask>   ;   griffer   ;   ::>66:61490>24:87221

une sorte de <mask> pourrait vendre   ;   Gazprom   ;   ::>66:152609>24:54438
une sorte de Gazprom pourrait <mask>   ;   vendre   ;   ::>66:152609>24:54438

le <mask> va étudier un virus   ;   virologue   ;   ::>14:232842>29:127257
le virologue va <mask> un virus   ;   étudier   ;   ::>14:232842>29:127257
le virologue va étudier un <mask>   ;   virus   ;   ::>14:232842>29:127257

un <mask> pourrait étudier un virus   ;   virologue   ;   ::>14:232842>29:127257
un virologue pourrait <mask> un virus   ;   étudier   ;   ::>14:232842>29:127257
un virologue pourrait étudier un <mask>   ;   virus   ;   ::>14:232842>29:127257

un <mask> pourrait utiliser une rivelaine dans une galerie de mine   ;   mineur   ;   ::>66:16598761>15:355779
un mineur pourrait <mask> une rivelaine dans une galerie de mine   ;   utiliser   ;   ::>66:16598761>15:355779
un mineur pourrait utiliser une <mask> dans une galerie de mine   ;   rivelaine   ;   ::>66:16598761>15:355779
un mineur pourrait utiliser une rivelaine dans une <mask> de mine   ;   galerie   ;   ::>66:16598761>15:355779
un mineur pourrait utiliser une rivelaine dans une galerie de <mask>   ;   mine   ;   ::>66:16598761>15:355779

le <mask> pourrait utiliser la rivelaine dans la galerie de mine   ;   mineur   ;   ::>66:16598761>15:355779
le mineur pourrait <mask> la rivelaine dans la galerie de mine   ;   utiliser   ;   ::>66:16598761>15:355779
le mineur pourrait utiliser la <mask> dans la galerie de mine   ;   rivelaine   ;   ::>66:16598761>15:355779
